employe_id,sallary,job_title
1002,20000,stup_instractor
1003,20000,stup_instractor
1004,20000,stup_instractor
1005,20000,stup_instractor
1006,20000,stup_instractor
1007,20000,stup_instractor
1008,20000,stup_instractor
1009,20000,stup_instractor
1010,20000,stup_instractor
1011,20000,stup_instractor
1012,20000,stup_instractor
1013,20000,stup_instractor
1014,20000,stup_instractor
1015,20000,stup_instractor
1016,20000,stup_instractor
1017,20000,stup_instractor
1018,20000,stup_instractor
1019,20000,stup_instractor
1020,20000,stup_instractor
1021,20000,stup_instractor
1022,20000,stup_instractor
1023,20000,stup_instractor
1024,20000,stup_instractor
1025,20000,stup_instractor
1026,20000,stup_instractor
1027,20000,stup_instractor
1028,20000,stup_instractor
1029,20000,stup_instractor
1030,20000,stup_instractor
1031,20000,stup_instractor
1032,20000,stup_instractor
1033,20000,stup_instractor
1034,20000,stup_instractor
1035,20000,stup_instractor
1036,20000,stup_instractor
1037,20000,stup_instractor
1038,20000,stup_instractor
1039,20000,stup_instractor
1040,20000,stup_instractor
1041,20000,stup_instractor
1042,20000,stup_instractor
1043,20000,stup_instractor
1044,20000,stup_instractor
1045,20000,stup_instractor
1046,20000,stup_instractor
1047,20000,stup_instractor
1048,20000,stup_instractor
1049,20000,stup_instractor
1050,20000,stup_instractor
1051,20000,stup_instractor
1052,20000,stup_instractor
1053,20000,stup_instractor
1054,20000,stup_instractor
1055,20000,stup_instractor
1056,20000,stup_instractor
1057,20000,stup_instractor
1058,20000,stup_instractor
1059,20000,stup_instractor
1060,20000,stup_instractor
1061,20000,stup_instractor
1062,20000,stup_instractor
1063,20000,stup_instractor
1064,20000,stup_instractor
1065,20000,stup_instractor
1066,20000,stup_instractor
1067,20000,stup_instractor
1068,20000,stup_instractor
1069,20000,stup_instractor
1070,20000,stup_instractor
1071,20000,stup_instractor
1072,20000,stup_instractor
1073,20000,stup_instractor
1074,20000,stup_instractor
1075,20000,stup_instractor
1076,20000,stup_instractor
1077,20000,stup_instractor
1078,20000,stup_instractor
1079,20000,stup_instractor
1080,20000,stup_instractor
1081,20000,stup_instractor
1082,20000,stup_instractor
1083,20000,stup_instractor
